Name,CASHWMaxSAT-DisjCom-S6,CASHWMaxSAT-DisjCom-S9,UWrMaxSat-SCIP,EvalMaxSAT,CASHWMaxSAT-DisjCad-S6,CASHWMaxSAT-DisjCad-S9,EvalMaxSAT-SBVA,EvalMaxSAT-SBVA-saveCores,wmaxcdcl-openwbo1200,cgss_default,cgss_abst_cg,wmaxcdcl,Pacose,PacoseMP2,Exact,VBS
quantum-circuit-qgan_6_15_ibmq-casablanca_7.wcnf,1573.52,1881.1,1587.71,783.032,982.734,1283.69,1091.82,1132.27,169.395,439.936,442.667,512.31,1213.99,1686.36,777.634,169.395
quantum-circuit-qpeexact_5_26_ibmq-casablanca_7.wcnf,597.703,903.937,34.783,593.3,728.751,1029.21,588.457,589.128,21.6131,184.674,176.131,21.0987,33.0892,32.0293,1096.56,21.0987
quantum-circuit-qpeinexact_5_26_ibmq-casablanca_7.wcnf,606.218,904.886,42.206,593.423,729.238,1028.82,590.017,589.355,21.7588,176.368,176.218,22.66,37.0237,31.9249,1043.8,21.7588
quantum-circuit-qwalk-v-chain_3_30_ibmq-casablanca_7.wcnf,606.066,905.98,178.838,629.45,612.582,912.589,654.12,654.16,264.358,4.2516,4.2601,114.174,FAILED,FAILED,568.968,4.2516
quantum-circuit-realamprandom_4_72_rigetti-agave_8.wcnf,617.478,917.486,15.37,625.654,603.871,905.279,627.608,624.199,13.9014,2.3618,2.3559,220.52,52.3683,46.8535,FAILED,2.3559
quantum-circuit-su2random_4_18_ibmq-casablanca_7.wcnf,611.819,911.468,239.64,641.774,704.673,1010.55,655.205,653.366,271.798,5.1684,5.245,128.683,725.414,855.767,496.247,5.1684
quantum-circuit-su2random_5_30_ibmq-london_5.wcnf,685.285,984.653,41.0711,648.541,956.153,1253.38,872.681,646.308,2224.97,3.2607,4.1828,1025.31,FAILED,FAILED,FAILED,3.2607
quantum-circuit-twolocalrandom_5_30_ibmq-london_5.wcnf,693.292,985.146,39.8021,661.44,954.537,1254.15,707.035,649.638,2227.32,3.2584,4.3897,1153.64,FAILED,FAILED,FAILED,3.2584
railway-transport_wt-bf2030fvcons.wcnf,587.085,507.799,387.456,740.115,110.013,109.571,796.744,790.021,1567.63,291.779,328.537,328.995,155.698,293.045,FAILED,109.571
railway-transport_wt-bf2030fvslack.wcnf,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
railway-transport_wt-f2030.wcnf,FAILED,FAILED,FAILED,1206.71,1306.5,1303.61,987.056,1092.7,FAILED,1912.16,617.485,FAILED,986.755,991.367,FAILED,617.485
railway-transport_wt-r11.wcnf,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
railway-transport_wt-wg2.wcnf,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
